Station,District,Latitude,Longitude,timestamp,rainfall_mm
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-13 03:00:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-13 04:00:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-13 05:00:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-13 06:00:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-13 07:00:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-13 08:00:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-27 12:00:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-27 12:15:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-27 12:30:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-27 12:45:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-03-27 13:00:00,95.1
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-02 00:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-04 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-04 23:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-07 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-12 16:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-13 13:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-14 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-15 15:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-17 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-17 21:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-18 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-19 12:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-20 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-20 15:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-21 06:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-21 12:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-23 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-23 12:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-25 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-26 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-26 05:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-26 06:00:00,2.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-26 07:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-26 08:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-26 11:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-26 13:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-27 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-28 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-28 17:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-29 13:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-29 15:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-29 16:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-29 17:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-29 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-29 21:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 07:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 10:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 13:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 14:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 15:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 16:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 17:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 18:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 20:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 22:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-30 23:00:00,4.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-31 00:00:00,2.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-31 01:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-31 02:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-31 03:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-05-31 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-02 12:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-02 14:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-02 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-03 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-05 00:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-05 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-06 07:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-07 13:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-08 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-09 06:00:00,0.5
